"TP load","Qmin","Crop production","NSWRM costs","linE","pond_share_con","hedge_share_con","grassslope_share_con","buffer_share_con","lowtillcc_share_con","lu_share","pond_moran","hedge_moran","grassslope_moran","buffer_moran","lowtillcc_moran","pond_channel_frac","grassslope_channel_frac","buffer_channel_frac","lowtillcc_channel_frac"
-6264,0.14378,58991.372,-137694.3702,2.325581395,20.79622839,0,1.427455105,11.89205086,40.5822806,0.14733748,0.000115852,0,0.00015979,0.000175538,0.003410657,3.968728032,76.814,22.16506791,0.113192527
-6235,0.14426,59181.416,-224830.4124,0.769230769,27.36361595,0,0,0,65.64121331,0,0.000143328,0,0,0,0.003185609,3.016215938,0,0,0.062316448
-5934,0.14288,58617.088,9091.20126,134.2105263,33.88460675,0,89.09009818,99.00800725,11.16843084,11.89777477,0.000103991,0,0.000494523,0.003284652,0.001953753,2.906813185,1.835028249,0.728534348,0.375419093
-6601,0.14238,58989.815,-39736.15212,6.896551724,33.88460675,0,6.703151815,0,10.49977401,0.828139758,0.000103991,0,0.00032746,0,0.001464134,2.906813185,30.06848384,0,0.164692562
-6101,0.14375,59071.781,-155523.7723,5.813953488,27.36361595,1.873319565,4.665087708,15.44155013,42.03335506,0.302738348,0.000143328,8.59e-05,0.000225809,0.000245191,0.003855885,3.016215938,0.074249453,14.34720896,0.098760654
-5835,0.14372,58659.096,-70180.35738,53.88888889,56.19396842,0,89.00855481,88.23597537,32.77485211,4.293132145,0.000179282,0,0.000492706,0.002862778,0.00348441,1.752789924,1.836709373,0.83449459,1.906041535
-5568,0.14558,58831.147,-251088.3396,14.74358974,20.79622839,2.237587744,56.79223071,72.72879776,79.29968537,1.258668014,0.000115852,0.000173483,0.000824002,0.002293853,0.002053611,3.968728032,4.358401624,0.989487663,0.182712994
-5724,0.14454,58977.077,-269231.5576,9.368635438,40.45199431,0,2.671121695,88.5619369,81.66871182,0.41676213,0.000116669,0,8.05e-05,0.003587781,0.00194977,2.434891612,143.738,0.732382984,0.23507182
-5605,0.14565,58950.585,-558536.4555,6.727272727,20.79622839,35.46636069,12.40830784,13.09812256,91.59246752,0.495038545,0.000115852,0.000988515,0.000635582,0.000180768,0.001852479,3.968728032,19.9481955,10.8531602,0.045550055
-6875,0.1414,59078.776,-3720.67182,0,0,0,0,0,1.117126049,0,0,0,0,0,0.000202271,0,0,0,54.81221507
-5759,0.14557,58979.792,-273200.0719,7.480314961,20.79622839,0,10.90726299,79.73795332,84.97004985,0.490709864,0.000115852,0,0.000309882,0.002350377,0.00182633,3.968728032,40.56533174,0.902509346,0.068557438
-5804,0.1455,59021.366,-285561.9377,4.597701149,33.88460675,0,9.017976524,37.79104209,85.98889583,0.288673495,0.000103991,0,0.000230136,0.0010026,0.001910054,2.906813185,49.06386044,1.319196456,0.053420978
-6743,0.14162,59037.669,3022.2101,275,0,0,4.665087708,15.44155013,0.362408556,24.01772798,0,0,0.000225809,0.000245191,6.85e-05,0,0.074249453,14.34720896,11.56937965
-5567,0.14587,58921.862,-568902.6641,6.842105263,27.36361595,35.46636069,15.39406283,11.89205086,94.55647055,0.516127099,0.000143328,0.000988515,0.000751452,0.000175538,0.001544922,3.016215938,14.84998092,22.16506791,0.044342203
-5715,0.14409,58671.526,-88742.16367,41.22807018,20.79622839,0,78.93471419,89.71915649,39.17706027,3.316268836,0.000115852,0,0.000129324,0.002996499,0.004145746,3.968728032,2.553421699,0.803961348,0.711835625
-6039,0.14244,58606.672,42512.40469,445.4545455,0,0,89.09009818,96.67517835,3.516295843,29.91515195,0,0,0.000494523,0.003124331,0.000449846,0,1.835028249,0.744578187,4.317705715
-6141,0.1423,58855.773,-5237.49665,87.23404255,30.68023647,0,37.71613501,37.79104209,6.162646893,9.194965588,0.00014153,0,0.000766117,0.0010026,0.001305754,2.408856334,7.064487433,1.319196456,2.095501892
-5757,0.14383,58568.412,-65066.22064,53.68421053,37.02462022,0,89.00855481,99.00800725,33.05862251,4.361604994,0.000172536,0,0.000492706,0.003284652,0.003546232,1.956756832,1.836709373,0.728534348,0.586306067
-5870,0.14391,58657.764,-58994.18947,52.1978022,20.79622839,0,89.09009818,88.23597537,31.9032319,4.409040176,0.000115852,0,0.000494523,0.002862778,0.002626415,3.968728032,1.835028249,0.83449459,1.958116018
-6760,0.1404,59087.492,-14310.00402,10.25641026,0,0,2.867453916,6.093388961,4.932704641,1.174828111,0,0,6.21e-05,0.000370979,0.001530665,0,154.303,6.884404513,6.230204003
-6231,0.14427,59160.67,-229709.1513,1.265822785,27.36361595,0,0,3.576732916,67.24313579,0.018425594,0.000143328,0,0,0.00035981,0.002985042,3.016215938,0,14.69562575,0.060831894
-6304,0.14202,58914.281,-26361.38552,67.1875,30.68023647,0.974130349,0,91.53026445,7.228507574,4.286544907,0.00014153,8.66e-05,0,0.0029166,0.001936036,2.408856334,0,0.786234461,0.943284569
-6029,0.14211,58606.78,45676.71311,550,0,0,89.09009818,99.00800725,2.655629421,36.2334948,0,0,0.000494523,0.003284652,0.000767833,0,1.835028249,0.728534348,7.298635416
-6736,0.14161,59036.823,3429.28181,240,0,0,4.665087708,19.44594963,0.393665999,24.59906026,0,0,0.000225809,0.000412505,5.76e-05,0,0.074249453,11.74820465,10.65076025
